#Table 2.  Multiplicative Corrections for IUE NEWSIPS Fluxes
# WL(A)    SWP
 1145.0  1.013
 1165.0  1.013
 1185.0  1.085
 1205.0  1.101
 1225.0  1.061
 1245.0  1.064
 1265.0  1.077
 1285.0  1.061
 1305.0  1.065
 1325.0  1.062
 1345.0  1.063
 1365.0  1.053
 1385.0  1.048
 1405.0  1.062
 1425.0  1.039
 1445.0  1.041
 1465.0  1.038
 1485.0  1.041
 1505.0  1.057
 1525.0  1.053
 1545.0  1.031
 1565.0  1.051
 1585.0  1.037
 1605.0  1.052
 1625.0  1.046
 1645.0  1.048
 1665.0  1.041
 1685.0  1.045
 1705.0  1.055
 1725.0  1.060
 1745.0  1.046
 1765.0  1.051
 1785.0  1.051
 1805.0  1.061
 1825.0  1.058
 1845.0  1.056
 1865.0  1.045
 1885.0  1.040
 1905.0  1.047
 1925.0  1.036
 1945.0  1.042
 1965.0  1.039
 1985.0  1.039
